Report_year,mission_name,mission_station_location,name_last,name_first,title_in_report,MD,DD ,LLD,,,,,
1884,Eastern Turkey,Mardin,Ainslie,John A,missionary,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Mardin,Thom,Daniel,physician,TRUE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Mardin,Andrus ,Olive,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Mardin,Dewey,Seraphina,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Mardin,Thom,LH,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Mardin,Ainslie,Ellen,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Mardin,Sears,Sarah,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Mardin,Pratt,Clarissa,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Mardin,Gates,Mary Ellen,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Van,Reynolds,George,missionary,TRUE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Van,Reynolds,Martha W,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Van,Johnson,LEila,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Van,Kimball,Grace,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Residing in Bitlis but member of Van Station,Knapp,George C,missionary,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Residing in Bitlis but member of Van Station,Ely,Charlotte,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Residing in Bitlis but member of Van Station,Ely,Mary,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,In this country,Barnum,Heney,missionary,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,In this country,Allen,Orson,missionary,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,In this country,Barnum,Helen P,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,In this country,Allen,Caroline R,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,In this country,Knapp,Alzina,mrs,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Bombay,Hume,Edward,missionary,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Bombay,Abbott,Justin,missionary,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Bombay,Hume,Charlotte,mrs,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Bombay,Nathuji,Tukaram,native_pastor,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Bombay,Kukade,SD,editor,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Ahmednagar,Bisell,Lemuel,missionary,FALSE,TRUE,FALSE,,,,,
1884,Maratha,Ahmednagar,Hume,Robert,missionary,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Ahmednagar,Smith,James,missionary,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Ahmednagar,Bissell,Arthur,missionary,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Ahmednagar,Bissell,Mary,mrs,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Ahmednagar,Fairbank,Katie,miss,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Ahmednagar,Harding,Ruby,miss,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Ahmednagar,Hume,Sarah,miss,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Ahmednagar,Bissell,Ellen,mrs,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Ahmednagar,Modak,R.V.,theological_instructor,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Wadale,Fairbank,Samuel,missionary,FALSE,FALSE,FALSE,,,,,
1884,Maratha,Rahuri,Fairbank,n/a,NA,FALSE,FALSE,FALSE,,,,,
